name,address,city,country,province,latitude,longitude,categories,price_range_min,price_range_max
Shotgun Dans Pizza,4203 E Kiehl Ave,Sherwood,US,Arkansas,34.8323,-92.1838,American Restaurant,0,25
Sauce Pizza Wine,25 E Camelback Rd,Phoenix,US,Arizona,33.509266,-112.073044,Restaurant and Pizza Place,0,25
Mios Pizzeria,3703 Paxton Ave,Cincinnati,US,Ohio,39.144883,-84.432685,Restaurant and Pizza Place,0,25
Hungry Howies Pizza,30495 John R Rd,Madison Heights,US,Michigan,42.516669,-83.10663,Restaurant and Pizza Place,25,40
Spartan Pizzeria,3600 Eastern Ave,Baltimore,US,Maryland,39.28663,-76.566984,American Restaurant,0,25
La Vals,1834 Euclid Ave,Berkeley,US,California,37.875496,-122.260345,Traditional Pizza Place,0,25
Brickyard Pizza,4819 Kerry Forest Pkwy,Tallahassee,US,Florida,30.537097,-84.215156,Traditional Pizza Place,0,25
Carrabbas Italian Grill,4061 28th St SE,Grand Rapids,US,Michigan,42.912878,-85.566939,Italian Restaurant,25,40
Domenicos Jr,146 N Glendora Ave,Glendora,US,California,34.137502,-117.865331,Restaurant and Pizza Place,0,25
Little Caesars Pizza,965 N Resler Dr,El Paso,US,Texas,31.862409,-106.558431,Restaurant and Pizza Place,0,25
Tonys Pizza,8111 Rowlock Way,Raleigh,US,North Carolina,35.884857,-78.737707,Restaurant and Pizza Place,0,25
Mikes Pizza,4111 Main St,Philadelphia,US,Pennsylvania,40.022413,-75.218579,American Restaurant,0,25
Theos Neighborhood Pizza,4024 Canal St,New Orleans,US,Louisiana,29.974032,-90.100317,Traditional Pizza Place,25,40
Hungry Howies Pizza,1584 N Woodland Blvd,DeLand,US,Florida,29.046703,-81.303817,Restaurant and Pizza Place,0,25
Salvos Pizzabar,1477 York Ave,New York,US,New York,40.770825,-73.95102,Restaurant and Pizza Place,25,40
Little Caesars Pizza,9600 San Jose Blvd,Jacksonville,US,Florida,30.204576,-81.785252,Restaurant and Pizza Place,0,25
Curry on Crust,45490 Ford Rd,Canton,US,Michigan,42.322403,-83.488782,Others,0,25
Pizza Box,1253 Jacklin Rd,Milpitas,US,California,37.4478,-121.8878,Restaurant and Pizza Place,0,25
Tonys Pizza Pit,786 Main St,Poughkeepsie,US,New York,41.696049,-73.901679,Restaurant and Pizza Place,0,25
Italy Pizza Pasta Subs,2221 Browning Dr,Arlington,US,Texas,32.707464,-97.085036,Italian Restaurant,25,40
Hungry Howies Pizza,150 N Pantano Rd,Tucson,US,Arizona,32.223015,-110.822913,Traditional Pizza Place,25,40
Dominicks Pizzeria Italian Restaurant,1250 Gen. Washington Blvd.,Washington Crossing,US,Pennsylvania,40.292365,-74.872428,Italian Restaurant,0,25
Thats a Pizza,3860 N Long Lake Rd,Traverse City,US,Michigan,44.757113,-85.652529,Traditional Pizza Place,0,25
Albanos Villa,1612 Franklin St,Michigan City,US,Indiana,41.707275,-86.896541,Restaurant and Pizza Place,0,25
Tonys Place Bar and Grille,1237 Greeley Ave,Warminster,US,Pennsylvania,40.213458,-75.070133,American Restaurant,25,40
Sherrill New York Pizzeria,121 E Seneca St,Sherrill,US,New York,43.076696,-75.597597,Restaurant and Pizza Place,0,25
Pizza Boy,1321 E Colorado St,Glendale,US,California,34.142767,-118.236607,Traditional Pizza Place,0,25
Cosmos Pizza,550 Grant St,Denver,US,Colorado,39.725069,-104.983255,Restaurant and Pizza Place,0,25
Piazza Pizza,22 Newbridge Rd,Hicksville,US,New York,40.767099,-73.527878,Italian Restaurant,0,25
Macys Place Pizzeria,3348 Genesee St,Buffalo,US,New York,42.925755,-78.761238,Traditional Pizza Place,0,25
Arizona Pizza Company,8110 W Union Hills Dr,Glendale,US,Arizona,33.65357,-112.233595,Restaurant and Pizza Place,0,25
Pizzaburg,90 S Main St,Johnstown,US,Ohio,40.152074,-82.68329,Restaurant and Pizza Place,0,30
DeLucias Pizzeria,2345 E Centennial Pkwy,North Las Vegas,US,Nevada,36.274975,-115.11845,Restaurant and Pizza Place,0,25
Wildwood Pizza,1260 Texas Ave Ste H,Alexandria,US,Louisiana,31.288586,-92.47294,American Restaurant,0,25
Pomo,8977 N Scottsdale Rd,Paradise Valley,US,Arizona,33.566876,-111.925361,Others,25,40
Hungry Howies Pizza,1608 W Friendly Ave,Greensboro,US,North Carolina,36.075201,-79.814066,Restaurant and Pizza Place,25,40
Bruno Bros Pizza,8381 Market St,Youngstown,US,Ohio,40.996343,-80.66232,Traditional Pizza Place,0,25
Milanos Pizzeria Italian Grill,9135 W Sam Houston Pkwy N,Houston,US,Texas,29.904366,-95.554944,Traditional Pizza Place,0,25
DoubleDaves PizzaWorks,4001 John Knox Dr,Abilene,US,Texas,32.403556,-99.767292,Restaurant and Pizza Place,0,25
Ray's Pizza,3414 W Union Hills Dr,Phoenix,US,Arizona,33.65465,-112.13275,Italian Restaurant,0,25
